unix_time,frame_idx,obs_id,x_px,y_px,cx_px,cy_px,bx,by,radius_px,angle_rad,omega_rad_s
1763656220.2218385,0,obs_1,384.7910002083314,241.07995000069445,384.7910002083314,241.07995000069445,19,12,64.8,0.016666666666666666,1.0
1763656220.2218385,0,obs_2,252.23040955061322,350.46919303734586,252.23040955061322,350.46919303734586,12,17,129.6,2.121061769059862,1.6
1763656220.2218385,0,obs_3,227.8936393095372,68.80485310512341,227.8936393095372,68.80485310512341,11,3,194.4,4.218790204786391,1.8
1763656220.2377534,1,obs_1,384.76400333320987,242.15960002222164,384.76400333320987,242.15960002222164,19,12,64.8,0.03333333333333333,1.0
1763656220.2377534,1,obs_2,249.30900795425313,348.6229425286765,249.30900795425313,348.6229425286765,12,17,129.6,2.147728435726529,1.6
1763656220.2377534,1,obs_3,233.0701681267031,66.11910878282129,233.0701681267031,66.11910878282129,11,3,194.4,4.248790204786391,1.8
1763656220.2540011,2,obs_1,384.71901687359383,243.23865016873995,384.71901687359383,243.23865016873995,19,12,64.8,0.05,1.0
1763656220.2540011,2,obs_2,246.43787252895027,346.6994536159067,246.43787252895027,346.6994536159067,12,17,129.6,2.1743951023931958,1.6
1763656220.2540011,2,obs_3,238.3249279249673,63.58984552600657,238.3249279249673,63.58984552600657,11,3,194.4,4.278790204786391,1.8
1763656220.269758,3,obs_1,384.6560533254327,244.31680071103585,384.6560533254327,244.31680071103585,19,12,64.8,0.06666666666666667,1.0
1763656220.269758,3,obs_2,243.61904485002054,344.70009403232086,243.61904485002054,344.70009403232086,12,17,129.6,2.2010617690598626,1.6
1763656220.269758,3,obs_3,243.65318977519712,61.21933950089027,243.65318977519712,61.21933950089027,12,3,194.4,4.3087902047863915,1.8
1763656220.28573,4,obs_1,384.5751301781962,245.3937521697801,384.5751301781962,245.3937521697801,19,12,64.8,0.08333333333333333,1.0
1763656220.28573,4,obs_2,240.85452929836435,342.62628546048296,240.85452929836435,342.62628546048296,12,17,129.6,2.2277284357265295,1.6
1763656220.28573,4,obs_3,249.0501586013741,59.00972400289061,249.0501586013741,59.00972400289061,12,2,194.4,4.338790204786392,1.8
1763656220.3026254,5,obs_1,384.4747876406243,246.48396165136708,384.4747876406243,246.48396165136708,19,12,64.8,0.10022886594136556,1.0
1763656220.3026254,5,obs_2,238.1095029865005,340.4495221436221,238.1095029865005,340.4495221436221,11,17,129.6,2.254761287899381,1.6
1763656220.3026254,5,obs_3,254.58638673946808,56.93602429696452,254.58638673946808,56.93602429696452,12,2,194.4,4.36920216348085,1.8
1763656220.3194115,6,obs_1,384.3568689159425,247.5652774791271,384.3568689159425,247.5652774791271,19,12,64.8,0.11701496442159016,1.0
1763656220.3194115,6,obs_2,235.44151204024746,338.2141645281391,235.44151204024746,338.2141645281391,11,16,129.6,2.2816190454677403,1.6
1763656220.3194115,6,obs_3,260.146676256122,55.04341148039484,260.146676256122,55.04341148039484,13,2,194.4,4.399417140745254,1.8
1763656220.335181,7,obs_1,384.22184854817215,248.63679159501038,384.22184854817215,248.63679159501038,19,12,64.8,0.13368163108825684,1.0
1763656220.335181,7,obs_2,232.85284150561654,335.92462023044345,232.85284150561654,335.92462023044345,11,16,129.6,2.308285712134407,1.6
1763656220.335181,7,obs_3,265.7214736202105,53.331305318651516,265.7214736202105,53.331305318651516,13,2,194.4,4.4294171407452545,1.8
1763656220.3512695,8,obs_1,384.0689891909725,249.7059066576517,384.0689891909725,249.7059066576517,19,12,64.8,0.1503482977549235,1.0
1763656220.3512695,8,obs_2,230.32613861140567,333.5668669116326,230.32613861140567,333.5668669116326,11,16,129.6,2.334952378801074,1.6
1763656220.3512695,8,obs_3,271.3451179943501,51.78718838236253,271.3451179943501,51.78718838236253,13,2,194.4,4.459417140745255,1.8
1763656220.3676925,9,obs_1,383.8983333042934,250.7723256975191,383.8983333042934,250.7723256975191,19,12,64.8,0.16701496442159017,1.0
1763656220.3676925,9,obs_2,227.8632000176449,331.14258109693566,227.8632000176449,331.14258109693566,11,16,129.6,2.361619045467741,1.6
1763656220.3676925,9,obs_3,277.0125484781888,50.412450272545755,277.0125484781888,50.412450272545755,13,2,194.4,4.489417140745255,1.8
1763656220.3845544,10,obs_1,383.70761615917354,251.84819156307876,383.70761615917354,251.84819156307876,19,12,64.8,0.18387688000996907,1.0
1763656220.3845544,10,obs_2,225.43808646065335,328.6239499671343,225.43808646065335,328.6239499671343,11,16,129.6,2.388598110409147,1.6
1763656220.3845544,10,obs_3,282.78572043062354,49.19523749095703,282.78572043062354,49.19523749095703,14,2,194.4,4.519768588804337,1.8
1763656220.401448,11,obs_1,383.4983760836863,252.922702300012,383.4983760836863,252.922702300012,19,12,64.8,0.2007705052693685,1.0
1763656220.401448,11,obs_2,223.07743230690068,326.03589873870425,223.07743230690068,326.03589873870425,11,16,129.6,2.415627910824186,1.6
1763656220.401448,11,obs_3,288.6041220686704,48.15199023987492,288.6041220686704,48.15199023987492,14,2,194.4,4.550177114271256,1.8
1763656220.4172904,12,obs_1,383.274188668348,253.97916479487583,383.274188668348,253.97916479487583,19,12,64.8,0.21743717193603515,1.0
1763656220.4172904,12,obs_2,220.81787289542333,323.4210145167967,220.81787289542333,323.4210145167967,11,16,129.6,2.442294577490853,1.6
1763656220.4172904,12,obs_3,294.37282616976864,47.29658030674415,294.37282616976864,47.29658030674415,14,2,194.4,4.580177114271256,1.8
1763656220.4332888,13,obs_1,383.0324254963427,255.03174427829356,383.0324254963427,255.03174427829356,19,12,64.8,0.2341038386027018,1.0
1763656220.4332888,13,obs_2,218.6288388171261,320.74681219983734,218.6288388171261,320.74681219983734,10,16,129.6,2.4689612441575197,1.6
1763656220.4332888,13,obs_3,300.1645929975318,46.61459044424669,300.1645929975318,46.61459044424669,15,2,194.4,4.610177114271257,1.8
1763656220.4488206,14,obs_1,382.7731537225523,256.0801483738434,382.7731537225523,256.0801483738434,19,12,64.8,0.2507705052693685,1.0
1763656220.4488206,14,obs_2,216.51188662622113,318.0151933301193,216.51188662622113,318.0151933301193,10,15,129.6,2.4956279108241866,1.6
1763656220.4488206,14,obs_3,305.9742103527474,46.10663439722589,305.9742103527474,46.10663439722589,15,2,194.4,4.640177114271257,1.8
1763656220.4655964,15,obs_1,382.4945753882438,257.13090911315317,382.4945753882438,257.13090911315317,19,12,64.8,0.26754635175069175,1.0
1763656220.4655964,15,obs_2,214.45538180790984,315.20966407773614,214.45538180790984,315.20966407773614,10,15,129.6,2.522469265194304,1.6
1763656220.4655964,15,obs_3,311.83462029898465,45.77156085079031,311.83462029898465,45.77156085079031,15,2,194.4,4.670373637937638,1.8
1763656220.4822032,16,obs_1,382.2003938532506,258.17005791131396,382.2003938532506,258.17005791131396,19,12,64.8,0.2842130184173584,1.0
1763656220.4822032,16,obs_2,212.48755320865365,312.3687348579338,212.48755320865365,312.3687348579338,10,15,129.6,2.5491359318609708,1.6
