unix_time,frame_ts_us,tracker_id,cx_px,cy_px,bx,by,w_px,h_px,processing_time_s
1763656248.0707903,1515000,1,170.43197631835938,124.4091796875,8,6,88,89,0.0
1763656248.0707903,1515000,2,380.2306213378906,218.59642028808594,19,10,38,45,0.0
1763656248.0707903,1515000,3,397.51641845703125,147.89332580566406,19,7,64,56,0.0
1763656248.102652,1545000,1,163.4376220703125,132.33802795410156,8,6,85,93,0.0
1763656248.102652,1545000,2,379.0210876464844,216.39305114746094,18,10,38,43,0.0
1763656248.102652,1545000,3,392.1143493652344,143.74551391601562,19,7,67,57,0.0
1763656248.1421807,1580000,1,155.49014282226562,142.62420654296875,7,7,79,95,0.0
1763656248.1421807,1580000,2,377.7151794433594,214.10020446777344,18,10,38,42,0.0
1763656248.1421807,1580000,3,386.31878662109375,140.0354766845703,19,7,67,53,0.0
1763656248.1710987,1615000,1,149.6318359375,151.8466033935547,7,7,78,101,0.0
1763656248.1710987,1615000,2,376.1958923339844,211.95077514648438,18,10,39,42,0.0
1763656248.1710987,1615000,3,380.334228515625,136.5473175048828,19,6,70,51,0.0
1763656248.2029088,1645000,1,141.9859161376953,164.1682891845703,7,8,71,99,0.0
1763656248.2029088,1645000,2,374.95123291015625,210.120849609375,18,10,40,42,0.0
1763656248.2029088,1645000,3,373.1430358886719,132.65756225585938,18,6,67,46,0.0
1763656248.2391932,1680000,1,137.82334899902344,173.22232055664062,6,8,69,105,0.0
1763656248.2391932,1680000,2,373.4096984863281,208.351318359375,18,10,39,41,0.0
1763656248.2391932,1680000,3,366.7893981933594,129.925537109375,18,6,67,46,0.0
1763656248.2721832,1715000,1,132.72142028808594,184.8740692138672,6,9,62,105,0.0
1763656248.2721832,1715000,2,372.180419921875,206.73587036132812,18,10,39,41,0.0
1763656248.2721832,1715000,3,360.118896484375,127.41879272460938,18,6,68,42,0.0
1763656248.303231,1745000,1,128.17877197265625,197.14816284179688,6,9,57,104,0.0
1763656248.303231,1745000,2,371.05279541015625,205.37176513671875,18,10,40,41,0.0
1763656248.303231,1745000,3,354.0860595703125,125.53044128417969,17,6,67,41,0.0
1763656248.33869,1780000,1,125.35506439208984,207.70510864257812,6,10,53,109,0.0
1763656248.33869,1780000,2,369.67376708984375,203.6855010986328,18,10,39,42,0.0
1763656248.33869,1780000,3,347.89697265625,123.88844299316406,17,6,69,40,0.0
1763656248.369486,1815000,1,122.50975799560547,220.75584411621094,6,11,48,107,0.0
1763656248.369486,1815000,2,368.15838623046875,202.23809814453125,18,10,41,42,0.0
1763656248.369486,1815000,3,340.6894226074219,122.25545501708984,17,6,69,37,0.0
