unix_time,frame_ts_us,id,cx,cy,vx,vy,bx,by,pbx,pby,w,h,processing_time
1763666217.8541758,980000,4,188.25157165527344,354.07464599609375,-56.297,41.79091,9,17,8,18,50,56,0.0
1763666217.8541758,980000,5,238.4856414794922,407.5253601074219,52.698223,-42.156902,11,20,12,20,54,55,0.0
1763666217.8859549,1015000,1,170.47268676757812,172.3990478515625,-40.63111,42.86067,8,8,8,8,40,53,0.0
1763666217.8859549,1015000,2,282.1545715332031,189.58689880371094,-26.191122,67.38241,14,9,13,9,37,58,0.0
1763666217.8859549,1015000,3,514.4223022460938,293.8948974609375,-42.666668,37.69927,25,14,25,14,38,47,0.0
1763666217.8859549,1015000,4,185.85879516601562,355.3441467285156,-76.05474,40.351265,9,17,8,18,52,55,0.0
1763666217.8859549,1015000,5,240.5454559326172,406.0018310546875,65.4715,-48.42559,12,20,12,19,53,55,0.0
1763666217.9199302,1045000,1,169.21463012695312,174.2090606689453,-38.55638,55.472496,8,8,8,9,40,55,0.0
1763666217.9199302,1045000,2,281.6463928222656,191.25282287597656,-15.574443,51.056526,14,9,13,9,36,59,0.0
1763666217.9199302,1045000,3,513.291259765625,295.2430419921875,-34.663704,41.317356,25,14,25,15,37,48,0.0
1763666217.9199302,1045000,4,184.16851806640625,356.20880126953125,-51.802887,26.499561,9,17,8,18,53,54,0.0
1763666217.9199302,1045000,5,242.12977600097656,404.91033935546875,48.55556,-33.45157,12,20,12,19,53,54,0.0
1763666217.9546192,1080000,1,167.98886108398438,175.769287109375,-34.0586,43.351665,8,8,8,9,39,56,0.0
1763666217.9546192,1080000,2,281.26751708984375,193.6777801513672,-10.52725,67.37864,14,9,13,10,35,59,0.0
1763666217.9546192,1080000,3,511.9343566894531,296.3181457519531,-37.702225,29.872292,25,14,25,15,37,48,0.0
1763666217.9546192,1080000,4,182.40049743652344,357.2226257324219,-49.12533,28.169615,9,17,8,18,53,54,0.0
1763666217.9546192,1080000,5,244.04022216796875,403.70111083984375,53.082695,-33.599014,12,20,12,19,54,54,0.0
1763666217.9870603,1115000,1,167.01187133789062,177.09738159179688,-31.066236,42.230637,8,8,8,9,39,56,0.0
1763666217.9870603,1115000,2,281.1854248046875,195.4081268310547,-2.6103635,55.021416,14,9,14,10,34,60,0.0
1763666217.9870603,1115000,3,510.8144226074219,297.41802978515625,-35.61157,34.97402,25,14,25,15,39,48,0.0
1763666217.9870603,1115000,4,180.4993896484375,358.0245666503906,-60.451263,25.50005,9,17,8,18,54,54,0.0
1763666217.9870603,1115000,5,246.05857849121094,402.1914367675781,64.17952,-48.00449,12,20,12,19,53,54,0.0
1763666218.0190825,1145000,1,165.97789001464844,178.6532440185547,-31.089516,46.78132,8,8,8,9,40,57,0.0
1763666218.0190825,1145000,2,281.1910400390625,196.96902465820312,0.16883759,46.93272,14,9,14,10,34,61,0.0
1763666218.0190825,1145000,3,509.484619140625,298.777587890625,-39.98423,40.878883,25,14,25,15,37,50,0.0
1763666218.0190825,1145000,4,178.8472442626953,359.05767822265625,-49.676334,31.063364,8,17,8,18,53,54,0.0
1763666218.0190825,1145000,5,247.56024169921875,400.6856384277344,45.15167,-45.276,12,20,12,19,50,54,0.0
1763666218.0535178,1180000,1,164.9171142578125,180.65298461914062,-30.589315,57.666,8,9,8,9,40,59,0.0
1763666218.0535178,1180000,2,281.2242126464844,198.74082946777344,0.9565899,51.093075,14,9,14,10,34,61,0.0
1763666218.0535178,1180000,3,508.00775146484375,300.4574279785156,-42.58805,48.441113,25,15,25,15,38,53,0.0
1763666218.0535178,1180000,4,176.72879028320312,360.334716796875,-61.08931,36.82563,8,18,8,18,53,54,0.0
1763666218.0535178,1180000,5,248.75909423828125,399.4177551269531,34.571,-36.561623,12,19,12,19,48,56,0.0
1763666218.0865338,1215000,1,164.13070678710938,182.01654052734375,-24.489246,42.46203,8,9,8,9,39,58,0.0
1763666218.0865338,1215000,2,281.25152587890625,200.2750244140625,0.850552,47.77584,14,10,14,10,34,61,0.0
1763666218.0865338,1215000,3,507.14825439453125,301.80718994140625,-26.765305,42.032475,25,15,25,15,37,54,0.0
1763666218.0865338,1215000,4,175.31471252441406,361.2018127441406,-44.035313,27.001938,8,18,8,18,53,53,0.0
1763666218.0865338,1215000,5,249.70718383789062,398.4093322753906,29.524134,-31.40295,12,19,12,19,46,57,0.0
1763666218.1183124,1245000,1,163.1268768310547,183.84555053710938,-31.003727,56.489773,8,9,7,9,38,61,0.0
1763666218.1183124,1245000,2,281.5654296875,202.66552734375,9.695056,73.831726,14,10,14,10,33,61,0.0
1763666218.1183124,1245000,3,505.9939270019531,303.16058349609375,-35.651905,41.80015,25,15,25,15,37,53,0.0
1763666218.1183124,1245000,4,173.4688262939453,362.2242126464844,-57.011,31.577267,8,18,8,18,53,54,0.0
1763666218.1183124,1245000,5,250.87611389160156,396.872314453125,36.102913,-47.471466,12,19,12,19,43,59,0.0
1763666218.1556127,1280000,1,162.22906494140625,185.78311157226562,-24.844437,53.61659,8,9,7,9,39,62,0.0
1763666218.1556127,1280000,2,282.2793884277344,205.67149353027344,19.756813,83.18172,14,10,14,10,34,60,0.0
1763666218.1556127,1280000,3,504.5025329589844,304.6174011230469,-41.270164,40.31336,25,15,24,15,40,52,0.0
1763666218.1556127,1280000,4,171.3401336669922,363.2248229980469,-58.90562,27.689096,8,18,8,18,55,54,0.0
1763666218.1556127,1280000,5,252.5392303466797,394.9140625,46.022102,-54.18915,12,19,12,19,44,60,0.0
1763666218.186384,1315000,1,161.08006286621094,187.81495666503906,-36.27926,64.154655,8,9,7,9,39,61,0.0
1763666218.186384,1315000,2,283.1229553222656,207.78054809570312,26.63527,66.592514,14,10,14,10,36,60,0.0
1763666218.186384,1315000,3,503.1310119628906,305.72357177734375,-43.3052,34.926872,25,15,24,15,39,51,0.0
1763666218.186384,1315000,4,169.09725952148438,364.304931640625,-70.81781,34.103977,8,18,7,18,55,55,0.0
1763666218.186384,1315000,5,253.66456604003906,392.9446105957031,35.532,-62.184616,12,19,12,19,43,61,0.0
1763666218.218201,1345000,1,159.84750366210938,189.83677673339844,-38.419785,63.021633,7,9,7,9,39,59,0.0
1763666218.218201,1345000,2,283.8930969238281,209.06109619140625,24.005886,39.915634,14,10,14,10,38,57,0.0
1763666218.218201,1345000,3,502.0076904296875,307.03167724609375,-35.014767,40.77462,25,15,24,15,37,52,0.0
1763666218.218201,1345000,4,167.12937927246094,365.1046447753906,-61.34029,24.927652,8,18,7,18,56,55,0.0
1763666218.218201,1345000,5,254.65921020507812,391.4302978515625,31.003798,-47.20225,12,19,12,19,42,60,0.0
1763666218.2560985,1380000,1,158.84776306152344,191.7303009033203,-27.92666,52.893528,7,9,7,9,39,59,0.0
1763666218.2560985,1380000,2,285.08795166015625,210.4054412841797,33.37696,37.55281,14,10,14,10,41,54,0.0
1763666218.2560985,1380000,3,500.60809326171875,308.65118408203125,-39.09622,45.23915,25,15,24,15,38,52,0.0
1763666218.2560985,1380000,4,164.9436492919922,366.1007385253906,-61.055977,27.82479,8,18,7,18,57,54,0.0
1763666218.2560985,1380000,5,255.76669311523438,389.5119934082031,30.936323,-53.585735,12,19,13,19,42,60,0.0
1763666218.2878454,1415000,1,157.9515838623047,193.46368408203125,-28.292435,54.72302,7,9,7,10,40,61,0.0
1763666218.2878454,1415000,2,286.01031494140625,211.84706115722656,29.119068,45.51203,14,10,14,10,41,54,0.0
1763666218.2878454,1415000,3,499.36767578125,310.58209228515625,-39.16006,60.958897,24,15,24,15,39,53,0.0
1763666218.2878454,1415000,4,163.1383514404297,367.18255615234375,-56.99337,34.153053,8,18,7,18,54,54,0.0
1763666218.2878454,1415000,5,256.5671691894531,387.7513427734375,25.27108,-55.583855,12,19,13,18,42,57,0.0
1763666218.317435,1445000,1,156.97984313964844,195.74159240722656,-30.153854,70.685234,7,9,7,10,39,62,0.0
1763666218.317435,1445000,2,287.30706787109375,213.12701416015625,40.23923,39.71792,14,10,14,10,44,50,0.0
1763666218.317435,1445000,3,498.1706237792969,312.1723327636719,-37.145435,49.346375,24,15,24,15,39,54,0.0
1763666218.317435,1445000,4,161.52783203125,368.3620300292969,-49.975643,36.59997,8,18,7,18,55,53,0.0
1763666218.317435,1445000,5,257.2351379394531,386.4006652832031,20.72758,-41.91255,12,19,13,19,42,58,0.0
1763666218.354953,1480000,1,156.1425323486328,197.67141723632812,-23.274502,53.64282,7,9,7,10,39,63,0.0
1763666218.354953,1480000,2,288.66937255859375,214.6571502685547,37.867615,42.53278,14,10,14,11,43,52,0.0
1763666218.354953,1480000,3,496.9800109863281,314.0990295410156,-33.095142,53.555866,24,15,24,16,38,55,0.0
1763666218.354953,1480000,4,159.17962646484375,369.90399169921875,-65.27243,42.861492,7,18,7,18,55,53,0.0
