unix_time_ms,sim_time_ms,obstacle_id,grid_x,grid_y,neuron_id
1763656258326,544,3,9,13,425
1763656258328,546,1,6,13,422
1763656258331,549,2,14,9,302
1763656258334,552,3,9,13,425
1763656258336,554,1,6,13,422
1763656258339,557,2,14,9,302
1763656258342,560,3,9,14,457
1763656258345,563,1,6,13,422
1763656258348,565,2,14,9,302
1763656258350,568,3,9,14,457
1763656258353,571,1,6,13,422
1763656258356,574,2,14,9,302
1763656258359,577,3,9,15,489
1763656258362,579,1,6,13,422
1763656258364,582,2,14,9,302
1763656258367,585,3,10,15,490
1763656258370,587,1,6,13,422
1763656258373,591,2,14,9,302
1763656258376,594,3,10,15,490
1763656258379,597,1,6,13,422
1763656258382,599,2,13,9,301
1763656258384,602,3,10,15,490
1763656258387,605,1,6,13,422
1763656258389,607,2,13,9,301
1763656258392,610,3,10,16,522
1763656258395,613,1,6,13,422
1763656258398,616,2,13,9,301
1763656258400,618,3,10,16,522
1763656258403,620,1,6,13,422
1763656258405,623,2,13,9,301
1763656258408,626,3,11,16,523
1763656258412,630,1,6,13,422
1763656258415,633,2,13,10,333
1763656258418,636,3,11,17,555
1763656258420,638,1,6,13,422
1763656258424,642,2,13,10,333
1763656258427,644,3,11,17,555
1763656258429,647,1,6,13,422
1763656258432,650,2,13,10,333
1763656258435,653,3,11,17,555
1763656258438,655,1,6,13,422
1763656258440,658,2,13,10,333
1763656258443,661,3,12,17,556
1763656258446,664,1,6,13,422
1763656258448,666,2,13,10,333
1763656258451,669,3,12,17,556
1763656258453,671,1,6,13,422
1763656258456,674,2,13,10,333
1763656258458,676,3,12,18,588
1763656258461,679,1,6,13,422
1763656258464,682,2,13,10,333
1763656258467,684,3,13,18,589
1763656258469,687,1,6,13,422
1763656258472,690,2,13,10,333
1763656258475,693,3,13,18,589
1763656258477,695,1,6,13,422
1763656258480,698,2,13,10,333
1763656258482,700,3,13,18,589
1763656258485,703,1,6,13,422
1763656258487,705,2,13,10,333
1763656258490,708,3,14,18,590
1763656258493,711,1,6,13,422
1763656258495,713,2,13,10,333
1763656258498,716,3,14,18,590
1763656258501,718,1,6,13,422
1763656258503,721,2,13,10,333
1763656258506,724,3,15,18,591
1763656258509,727,1,6,13,422
1763656258511,729,2,12,10,332
1763656258514,732,3,15,18,591
1763656258517,735,1,6,13,422
1763656258519,737,2,12,11,364
1763656258522,740,3,15,18,591
1763656258525,743,1,6,13,422
1763656258528,746,2,12,11,364
1763656258530,748,3,16,18,592
1763656258533,751,1,6,13,422
1763656258535,753,2,12,11,364
1763656258539,757,3,16,18,592
1763656258542,760,1,6,13,422
1763656258545,763,2,12,11,364
1763656258548,766,3,16,18,592
1763656258550,768,1,6,13,422
1763656258553,771,2,12,11,364
1763656258556,774,3,17,18,593
1763656258559,776,1,6,13,422
1763656258561,779,2,12,11,364
1763656258564,782,3,17,18,593
1763656258566,784,1,6,13,422
1763656258569,787,2,12,11,364
1763656258573,791,3,18,18,594
1763656258576,794,1,6,13,422
1763656258578,796,2,12,11,364
1763656258581,799,3,18,18,594
1763656258583,801,1,6,13,422
1763656258586,804,2,12,12,396
1763656258589,807,3,18,18,594
1763656258591,809,1,6,13,422
1763656258594,812,2,12,12,396
1763656258596,814,3,19,18,595
1763656258599,817,1,6,13,422
1763656258601,819,2,12,12,396
1763656258606,824,3,19,18,595
1763656258609,827,1,6,13,422
1763656258612,830,2,12,12,396
1763656258614,832,3,19,17,563
1763656258617,835,1,6,13,422
1763656258620,838,2,12,12,396
1763656258623,841,3,19,17,563
1763656258625,843,1,6,13,422
1763656258628,846,2,12,12,396
1763656258631,849,3,20,17,564
1763656258634,851,1,6,13,422
1763656258636,854,2,12,12,396
1763656258639,857,3,20,17,564
1763656258643,861,1,6,13,422
1763656258647,865,2,12,12,396
1763656258650,868,3,20,16,532
1763656258653,870,1,6,13,422
1763656258655,873,2,12,12,396
1763656258658,876,3,20,16,532
1763656258661,879,1,6,13,422
1763656258663,881,2,12,13,428
1763656258666,884,3,21,16,533
1763656258669,886,1,6,13,422
1763656258671,889,2,12,13,428
1763656258675,893,3,21,16,533
1763656258677,895,1,6,13,422
1763656258680,898,2,12,13,428
1763656258683,900,3,21,15,501
1763656258685,903,1,6,13,422
1763656258688,906,2,12,13,428
1763656258690,908,3,21,15,501
1763656258693,911,1,6,13,422
1763656258696,914,2,12,13,428
1763656258698,916,3,21,15,501
1763656258701,919,1,6,13,422
1763656258704,922,2,12,13,428
1763656258706,924,3,22,14,470
1763656258710,928,1,6,13,422
1763656258713,931,2,13,13,429
1763656258715,933,3,22,14,470
1763656258718,936,1,6,13,422
1763656258721,939,2,13,13,429
1763656258723,941,3,22,14,470
1763656258726,944,1,6,13,422
1763656258729,947,2,13,13,429
1763656258731,949,3,22,13,438
1763656258734,952,1,6,13,422
