t,robot_id,x,y,gx,gy,t_s
1763663611.4778275,2,303.5301694567101,217.09801486338893,15,10,1763663611.4778275
1763663611.4778275,3,563.8103005231876,226.33208281323357,28,11,1763663611.4778275
1763663611.4778275,4,347.7402082200438,392.6953911896478,17,19,1763663611.4778275
1763663611.4937809,0,151.26820061095322,168.32098688332215,7,8,1763663611.4937809
1763663611.4937809,1,202.1780744680548,57.82982968690331,10,2,1763663611.4937809
1763663611.4937809,2,303.7467386249241,218.0742821399987,15,10,1763663611.4937809
1763663611.4937809,3,563.5249474581988,225.3736603446418,28,11,1763663611.4937809
1763663611.4937809,4,348.7401921731868,392.7010562983498,17,19,1763663611.4937809
1763663611.5099213,0,151.63406999196272,167.3903206724604,7,8,1763663611.5099213
1763663611.5099213,1,202.0031861860176,58.81441797080988,10,2,1763663611.5099213
1763663611.5099213,2,304.0004949827569,219.0415503090498,15,10,1763663611.5099213
1763663611.5099213,3,563.151199866034,224.44612989373948,28,11,1763663611.5099213
1763663611.5099213,4,349.73906496814243,392.6535890517745,17,19,1763663611.5099213
1763663611.5262003,0,151.8972380283669,166.4255706609988,7,8,1763663611.5262003
1763663611.5262003,1,201.9274257846777,59.811544021812864,10,2,1763663611.5262003
1763663611.5262003,2,304.378974169722,219.9671601107666,15,10,1763663611.5262003
1763663611.5262003,3,562.8555755077065,223.4908256287205,28,11,1763663611.5262003
1763663611.5262003,4,350.7378156158392,392.70356048086416,17,19,1763663611.5262003
1763663611.542213,0,152.18474396048316,165.46779180395615,7,8,1763663611.542213
1763663611.542213,1,201.88381627859405,60.81059267477184,10,3,1763663611.542213
1763663611.542213,2,304.848803762417,220.84991724261437,15,11,1763663611.542213
1763663611.542213,3,562.4803141212948,222.56390659672883,28,11,1763663611.542213
1763663611.542213,4,351.73393149372225,392.7916124986111,17,19,1763663611.542213
1763663611.5582194,0,152.49244060175096,164.51630729175824,7,8,1763663611.5582194
1763663611.5582194,1,201.90661001007663,61.81033286392355,10,3,1763663611.5582194
1763663611.5582194,2,305.38929665287856,221.69126582397672,15,11,1763663611.5582194
1763663611.5582194,3,562.041364735469,221.6653948067766,28,11,1763663611.5582194
1763663611.5582194,4,352.7311507888262,392.86613549823136,17,19,1763663611.5582194
1763663611.573635,0,152.72356058781045,163.54338203664156,7,8,1763663611.573635
1763663611.573635,1,201.80050786290556,62.80468809942326,10,3,1763663611.573635
1763663611.573635,2,306.03515310378793,222.45472469308413,15,11,1763663611.573635
1763663611.573635,3,561.6331858763691,220.7524928301198,28,11,1763663611.573635
1763663611.573635,4,353.7310212861412,392.8822286209582,17,19,1763663611.573635
1763663611.5904884,0,153.05392703200735,162.59952928724223,7,8,1763663611.5904884
1763663611.5904884,1,201.76080405492468,63.80389959236748,10,3,1763663611.5904884
1763663611.5904884,2,306.7862539209075,223.11491221381016,15,11,1763663611.5904884
1763663611.5904884,3,561.2904822105659,219.8130492727705,28,10,1763663611.5904884
1763663611.5904884,4,354.7302003019508,392.8417157296047,17,19,1763663611.5904884
1763663611.606388,0,153.36649582400983,161.64963416131195,7,8,1763663611.606388
1763663611.606388,1,201.58655678649131,64.7886015216047,10,3,1763663611.606388
1763663611.606388,2,307.6114885704657,223.67970223954404,15,11,1763663611.606388
1763663611.606388,3,561.0282018546723,218.84805755523493,28,10,1763663611.606388
1763663611.606388,4,355.7294895541181,392.8040197019255,17,19,1763663611.606388
1763663611.6221657,0,153.80363004478775,160.75023787878413,7,8,1763663611.6221657
1763663611.6221657,1,201.4214806611569,65.7748823501949,10,3,1763663611.6221657
1763663611.6221657,2,308.4546669293732,224.2173361810601,15,11,1763663611.6221657
1763663611.6221657,3,560.8388747376727,217.86614348426505,28,10,1763663611.6221657
1763663611.6221657,4,356.729249607118,392.8259248708519,17,19,1763663611.6221657
1763663611.6375513,0,154.32215312954273,159.8951742492359,7,7,1763663611.6375513
1763663611.6375513,1,201.32321054402573,66.77004212836071,10,3,1763663611.6375513
1763663611.6375513,2,309.2246350839591,224.8554184962229,15,11,1763663611.6375513
1763663611.6375513,3,560.6299155956335,216.88821911246612,28,10,1763663611.6375513
1763663611.6375513,4,357.7251442430579,392.73540485038063,17,19,1763663611.6375513
1763663611.6543007,0,154.74112887587418,158.98717682413712,7,7,1763663611.6543007
1763663611.6543007,1,201.1810562657161,67.75988664198812,10,3,1763663611.6543007
1763663611.6543007,2,310.0404206800916,225.43377293870856,15,11,1763663611.6543007
1763663611.6543007,3,560.5225956301637,215.8939945779612,28,10,1763663611.6543007
1763663611.6543007,4,358.7176770367996,392.61342676485935,17,19,1763663611.6543007
1763663611.6697416,0,155.15790629472474,158.07816825259542,7,7,1763663611.6697416
1763663611.6697416,1,200.9162578036775,68.72419041907393,10,3,1763663611.6697416
1763663611.6697416,2,310.87360522563574,225.9867679776251,15,11,1763663611.6697416
1763663611.6697416,3,560.36134142092,214.907081674002,28,10,1763663611.6697416
1763663611.6697416,4,359.7169644710254,392.5756825759239,17,19,1763663611.6697416
1763663611.6863291,0,155.60148697695877,157.18193380874226,7,7,1763663611.6863291
1763663611.6863291,1,200.69115429938685,69.69852527545343,10,3,1763663611.6863291
1763663611.6863291,2,311.67104678061327,226.5901641711787,15,11,1763663611.6863291
1763663611.6863291,3,560.1474606126186,213.9302219093273,28,10,1763663611.6863291
1763663611.6863291,4,360.7143856057492,392.6474536007623,18,19,1763663611.6863291
1763663611.7016397,0,156.10204023859762,156.3162280664356,7,7,1763663611.7016397
1763663611.7016397,1,200.55383779586975,70.68905249762446,10,3,1763663611.7016397
1763663611.7016397,2,312.52020981347755,227.11829497279584,15,11,1763663611.7016397
1763663611.7016397,3,559.8137337514255,212.98755209326325,27,10,1763663611.7016397
1763663611.7016397,4,361.7121357616785,392.714495575248,18,19,1763663611.7016397
1763663611.7177851,0,156.68681752475896,155.50503417741166,7,7,1763663611.7177851
1763663611.7177851,1,200.27932955485312,71.65063724459893,10,3,1763663611.7177851
1763663611.7177851,2,313.3182643605476,227.7208801866045,15,11,1763663611.7177851
1763663611.7177851,3,559.4617026750767,212.05156378068412,27,10,1763663611.7177851
1763663611.7177851,4,362.708482002318,392.7999014811529,18,19,1763663611.7177851
1763663611.7338028,0,157.2884478205449,154.7062594987991,7,7,1763663611.7338028
1763663611.7338028,1,200.0686202780269,72.62818601609801,10,3,1763663611.7338028
1763663611.7338028,2,314.1604738443683,228.26003061585632,15,11,1763663611.7338028
1763663611.7338028,3,559.2280052061277,211.0792544199317,27,10,1763663611.7338028
1763663611.7338028,4,363.687930959405,393.0015936735186,18,19,1763663611.7338028
1763663611.749746,0,157.97293255727686,153.97723230782407,7,7,1763663611.749746
1763663611.749746,1,199.7154547806417,73.56374688074374,9,3,1763663611.749746
1763663611.749746,2,315.0111973886559,228.78564402055108,15,11,1763663611.749746
