t,robot_id_1,robot_id_2
1763686120.858216,1,2
1763686120.8741112,1,2
1763686120.8895407,1,2
1763686120.9057736,1,2
1763686120.9223223,1,2
1763686120.9384758,1,2
1763686120.9548566,1,2
1763686120.971828,1,2
1763686120.9889424,1,2
1763686121.0055346,1,2
1763686121.0214262,1,2
1763686121.0378919,1,2
1763686121.0549767,1,2
1763686121.071126,1,2
1763686121.0870411,1,2
1763686121.1034493,1,2
1763686134.277053,2,3
1763686134.2929337,2,3
1763686134.308783,2,3
1763686134.3248758,2,3
1763686134.3420491,2,3
1763686134.3576343,2,3
1763686134.374021,2,3
1763686134.3902383,2,3
1763686134.4064555,2,3
1763686134.4226828,2,3
1763686134.4391088,2,3
1763686134.4557188,2,3
1763686134.471327,2,3
1763686134.48779,2,3
1763686134.5044863,2,3
1763686134.521841,2,3
1763686134.537613,2,3
1763686134.5538402,2,3
1763686136.443108,1,4
1763686136.459954,1,4
1763686136.4763281,1,4
1763686136.4932027,1,4
1763686136.509004,1,4
1763686136.5247617,1,4
1763686136.5417814,1,4
1763686136.558137,1,4
1763686136.5741994,1,4
1763686136.591484,1,4
1763686136.60804,1,4
1763686136.624302,1,4
1763686136.6413531,1,4
1763686136.6584985,1,4
1763686136.674912,1,4
1763686136.6910565,1,4
1763686136.7071433,1,4
1763686140.087127,0,3
1763686140.1027722,0,3
1763686140.1189737,0,3
1763686140.1358604,0,3
1763686140.1523566,0,3
1763686140.1695535,0,3
1763686140.1860046,0,3
1763686140.2024782,0,3
1763686140.2194374,0,3
1763686140.2358034,0,3
1763686140.25217,0,3
1763686140.2685266,0,3
1763686140.286148,0,3
1763686140.3013873,0,3
1763686140.3175344,0,3
1763686140.334055,0,3
1763686140.3499386,0,3
1763686140.3658972,0,3
1763686140.3829858,0,3
1763686143.9389634,0,2
1763686143.954998,0,2
1763686143.9710977,0,2
1763686143.9868898,0,2
1763686144.0025077,0,2
1763686144.0195246,0,2
1763686144.0361526,0,2
1763686144.052158,0,2
1763686144.0687382,0,2
1763686144.0856614,0,2
1763686144.102885,0,2
1763686144.1194851,0,2
1763686144.1364741,0,2
