t,robot_id,x,y,gx,gy
1763686109.4242218,0,576.5656282790626,366.9714816768208,28,18
1763686109.4242218,1,196.31195183599294,64.52253881362206,9,3
1763686109.4242218,2,304.76949951722514,192.04937378413481,15,9
1763686109.4242218,3,142.4608592410223,115.29648067546061,7,5
1763686109.4242218,4,562.1874006486867,50.84536032209475,28,2
1763686109.4436805,0,576.0407682106587,367.8226702038788,28,18
1763686109.4436805,1,197.55124199323154,64.91254563557283,9,3
1763686109.4436805,2,303.57189613012724,192.93218194404974,15,9
1763686109.4436805,3,143.82942653491304,115.3844196332512,7,5
1763686109.4436805,4,563.3197154081452,51.56375165572583,28,2
1763686109.4588861,0,575.5666570248815,368.7031351853067,28,18
1763686109.4588861,1,198.68607312025674,65.28782594732373,9,3
1763686109.4588861,2,302.4795742491044,193.7570621992428,15,9
1763686109.4588861,3,145.09100981990272,115.36891790447258,7,5
1763686109.4588861,4,564.26016066823,52.36223679017568,28,2
1763686109.4757323,0,574.9761974351554,369.51020239000565,28,18
1763686109.4757323,1,199.74415966320208,65.58730062038613,9,3
1763686109.4757323,2,301.45949886909403,194.49547714146172,15,9
1763686109.4757323,3,146.24512925971067,115.24508129334743,7,5
1763686109.4757323,4,565.1181618849247,53.105249631828514,28,2
1763686109.4923458,0,574.4798493730528,370.3783259994341,28,18
1763686109.4923458,1,200.73926788618104,65.76965677997094,10,3
1763686109.4923458,2,300.45196229722194,195.06740369749704,15,9
1763686109.4923458,3,147.3086786607999,115.14895427828236,7,5
1763686109.4923458,4,565.8266789986176,53.872299109824425,28,2
1763686109.5099392,0,574.0441243104273,371.2784058124506,28,18
1763686109.5099392,1,201.7064523726045,66.02373190512452,10,3
1763686109.5099392,2,299.5141193522138,195.57387583151618,14,9
1763686109.5099392,3,148.30592494733594,115.07479334523735,7,5
1763686109.5099392,4,566.4351844836121,54.66584877728795,28,2
1763686109.5253465,0,573.5297367519377,372.1359636470432,28,18
1763686109.5253465,1,202.70034260750018,66.13410491350542,10,3
1763686109.5253465,2,298.6597308058509,196.0935105222787,14,9
1763686109.5253465,3,149.30395410101792,115.13754530457577,7,5
1763686109.5253465,4,567.0513574588291,55.453459635905475,28,2
1763686109.5424814,0,572.8986832564783,372.91170296270826,28,18
1763686109.5424814,1,203.70014012508213,66.11398219408215,10,3
1763686109.5424814,2,297.8126556605479,196.62498366196667,14,9
1763686109.5424814,3,150.30057706039628,115.05543150037734,7,5
1763686109.5424814,4,567.5668915138215,56.31032872634063,28,2
1763686109.558767,0,572.2638035749656,373.6843139838582,28,18
1763686109.558767,1,204.69730750359997,66.03876770598424,10,3
1763686109.558767,2,296.90047117185617,197.034763430367,14,9
1763686109.558767,3,151.30051479480184,115.06659068098685,7,5
1763686109.558767,4,568.0124107985907,57.20560106864696,28,2
1763686109.576195,0,571.6630786698933,374.4837697915336,28,18
1763686109.576195,1,205.69629988305476,66.083647832892,10,3
1763686109.576195,2,296.0361501205223,197.53770390420175,14,9
1763686109.576195,3,152.29663181006543,114.97855153115928,7,5
1763686109.576195,4,568.4496642272604,58.10493940271076,28,2
1763686109.5928888,0,571.1400018580871,375.33605533579134,28,18
1763686109.5928888,1,206.69288480848783,66.0010737061962,10,3
1763686109.5928888,2,295.18888147281575,198.06886851015133,14,9
1763686109.5928888,3,153.29641755422523,114.95785211631669,7,5
1763686109.5928888,4,568.8467696840826,59.02271238998053,28,2
1763686109.6087286,0,570.5208256147838,376.12130738432666,28,18
1763686109.6087286,1,207.68147155696187,65.85042099051688,10,3
1763686109.6087286,2,294.3513533780436,198.61526277299393,14,9
1763686109.6087286,3,154.28552224990685,114.81063832287141,7,5
1763686109.6087286,4,569.3711967603615,59.87416775678817,28,2
1763686109.6252701,0,569.8517986373878,376.8645455046598,28,18
1763686109.6252701,1,208.67099274101983,65.70603322683685,10,3
1763686109.6252701,2,293.4714526704644,199.0904203729559,14,9
1763686109.6252701,3,155.2799711157874,114.70541734991973,7,5
1763686109.6252701,4,569.9077924597848,60.718007229294884,28,3
1763686109.642639,0,569.0800040716636,377.5004174637196,28,18
1763686109.642639,1,209.65605981574805,65.53386221218469,10,3
1763686109.642639,2,292.6683827949655,199.68630524024675,14,9
1763686109.642639,3,156.27537293549648,114.60962999522278,7,5
1763686109.642639,4,570.4588269235726,61.55248971546106,28,3
1763686109.6586528,0,568.4051891875297,378.2384045043588,28,18
1763686109.6586528,1,210.6479804270953,65.40700204986204,10,3
1763686109.6586528,2,291.94783133954354,200.37970671132197,14,10
1763686109.6586528,3,157.2472591528265,114.37417898001165,7,5
1763686109.6586528,4,571.1100120107019,62.31140867180651,28,3
1763686109.6749675,0,567.8022408461973,379.03618473580383,28,18
1763686109.6749675,1,211.6307670343574,65.2222576735303,10,3
