unix_time_ms,sim_time_ms,robot_id,grid_x,grid_y,neuron_id,event_type
1763662368290,1676,1,19,17,563,inject
1763662368301,1686,5,28,14,476,inject
1763662368311,1697,2,14,14,462,inject
1763662368321,1707,3,23,9,311,inject
1763662368332,1717,1,19,17,563,inject
1763662368342,1728,5,27,14,475,inject
1763662368353,1738,2,14,13,430,inject
1763662368363,1748,3,23,9,311,inject
1763662368373,1759,1,19,17,563,inject
1763662368383,1769,5,27,14,475,inject
1763662368394,1779,2,14,13,430,inject
1763662368404,1790,3,23,9,311,inject
1763662368415,1800,1,19,17,563,inject
1763662368425,1811,5,27,14,475,inject
1763662368436,1821,2,15,13,431,inject
1763662368447,1832,3,23,9,311,inject
1763662368457,1842,1,19,18,595,inject
1763662368467,1853,5,27,14,475,inject
1763662368478,1863,2,15,13,431,inject
1763662368488,1874,3,22,9,310,inject
1763662368498,1884,1,19,18,595,inject
1763662368509,1894,5,27,14,475,inject
1763662368519,1904,2,15,13,431,inject
1763662368529,1915,3,22,9,310,inject
1763662368539,1925,1,19,18,595,inject
1763662368550,1935,5,27,14,475,inject
1763662368560,1945,2,15,13,431,inject
1763662368570,1956,3,22,9,310,inject
1763662368581,1966,1,19,18,595,inject
1763662368591,1976,5,26,14,474,inject
1763662368601,1987,2,15,13,431,inject
1763662368612,1997,3,22,9,310,inject
1763662368622,2007,1,19,18,595,inject
1763662368633,2018,5,26,13,442,inject
1763662368643,2029,2,15,13,431,inject
1763662368653,2039,3,22,9,310,inject
1763662368664,2049,1,19,19,627,inject
1763662368674,2060,5,26,13,442,inject
1763662368684,2070,4,21,17,565,inject
1763662368695,2080,2,16,13,432,inject
1763662368705,2091,3,22,8,278,inject
1763662368715,2101,1,19,19,627,inject
1763662368726,2111,5,26,13,442,inject
1763662368736,2122,4,21,17,565,inject
1763662368747,2132,2,16,13,432,inject
1763662368757,2143,3,22,8,278,inject
1763662368768,2153,1,19,19,627,inject
1763662368778,2163,5,26,13,442,inject
1763662368788,2174,4,21,17,565,inject
1763662368799,2184,2,16,13,432,inject
1763662368809,2194,3,22,8,278,inject
1763662368819,2205,1,19,19,627,inject
1763662368830,2215,5,26,13,442,inject
1763662368840,2226,4,21,17,565,inject
1763662368851,2236,2,16,13,432,inject
1763662368861,2246,3,22,8,278,inject
1763662368871,2257,1,19,19,627,inject
1763662368882,2267,5,26,13,442,inject
1763662368892,2278,4,21,17,565,inject
1763662368903,2288,2,16,13,432,inject
1763662368913,2298,3,21,8,277,inject
1763662368923,2309,1,19,20,659,inject
1763662368934,2319,5,25,13,441,inject
1763662368944,2329,4,21,17,565,inject
1763662368955,2341,2,16,13,432,inject
1763662368965,2351,3,21,8,277,inject
1763662368976,2361,1,19,20,659,inject
1763662368986,2372,5,25,12,409,inject
1763662368996,2382,4,21,17,565,inject
1763662369007,2392,2,17,13,433,inject
1763662369017,2403,3,21,8,277,inject
1763662369027,2413,1,19,20,659,inject
1763662369038,2423,5,25,12,409,inject
1763662369048,2434,4,21,17,565,inject
1763662369059,2444,2,17,13,433,inject
1763662369069,2454,3,21,8,277,inject
1763662369079,2465,1,19,20,659,inject
1763662369090,2475,5,25,12,409,inject
1763662369100,2485,4,22,17,566,inject
1763662369110,2496,2,17,13,433,inject
1763662369121,2506,3,21,8,277,inject
1763662369131,2516,1,19,20,659,inject
1763662369141,2527,5,25,12,409,inject
1763662369152,2537,4,22,17,566,inject
1763662369162,2547,2,17,13,433,inject
1763662369172,2558,3,21,8,277,inject
1763662369183,2568,1,19,20,659,inject
1763662369193,2578,5,25,12,409,inject
1763662369203,2589,4,22,17,566,inject
1763662369214,2599,2,17,13,433,inject
1763662369224,2610,3,21,8,277,inject
1763662369234,2620,1,19,21,691,inject
1763662369245,2630,5,25,12,409,inject
1763662369255,2641,4,22,17,566,inject
1763662369265,2651,2,18,13,434,inject
1763662369276,2661,3,21,8,277,inject
1763662369286,2672,1,19,21,691,inject
1763662369297,2682,5,24,12,408,inject
1763662369307,2692,4,22,17,566,inject
1763662369317,2703,2,18,12,402,inject
1763662369327,2713,3,20,8,276,inject
1763662369338,2723,1,19,21,691,inject
1763662369348,2734,5,24,12,408,inject
1763662369359,2744,4,22,17,566,inject
1763662369369,2754,2,18,12,402,inject
1763662369379,2765,3,20,8,276,inject
1763662369390,2775,1,19,21,691,inject
1763662369400,2785,5,24,11,376,inject
1763662369410,2796,4,22,17,566,inject
1763662369421,2806,2,18,12,402,inject
1763662369431,2816,3,20,8,276,inject
1763662369441,2827,1,19,21,691,inject
1763662369451,2837,5,24,11,376,inject
1763662369462,2847,4,23,17,567,inject
1763662369472,2858,2,18,12,402,inject
1763662369482,2868,3,20,8,276,inject
1763662369493,2878,1,19,21,691,inject
1763662369503,2889,5,24,11,376,inject
1763662369513,2899,4,23,17,567,inject
1763662369524,2909,2,18,12,402,inject
1763662369534,2919,3,20,8,276,inject
1763662369544,2930,1,19,22,723,inject
1763662369555,2940,5,24,11,376,inject
1763662369565,2950,4,23,17,567,inject
1763662369575,2961,2,18,12,402,inject
1763662369585,2971,3,20,8,276,inject
1763662369596,2981,1,18,22,722,inject
1763662369606,2992,5,24,11,376,inject
1763662369616,3002,4,23,16,535,inject
1763662369627,3012,2,19,12,403,inject
1763662369637,3022,3,20,8,276,inject
1763662369647,3033,1,18,22,722,inject
1763662369658,3043,5,23,11,375,inject
1763662369668,3053,4,23,16,535,inject
1763662369678,3064,2,19,12,403,inject
1763662369689,3074,3,20,8,276,inject
1763662369699,3084,1,18,22,722,inject
1763662369709,3095,5,23,11,375,inject
1763662369720,3105,4,23,16,535,inject
1763662369730,3115,2,19,12,403,inject
1763662369740,3126,3,20,8,276,inject
1763662369751,3136,1,18,22,722,inject
1763662369761,3147,5,23,11,375,inject
1763662369771,3157,4,23,16,535,inject
1763662369782,3167,2,19,11,371,inject
1763662369792,3177,3,19,8,275,inject
1763662369802,3188,1,18,22,722,inject
1763662369813,3198,5,23,11,375,inject
1763662369823,3208,4,23,16,535,inject
1763662369833,3219,2,19,11,371,inject
1763662369844,3229,3,19,8,275,inject
1763662369854,3239,1,18,22,722,inject
1763662369864,3250,5,23,10,343,inject
1763662369875,3260,4,24,16,536,inject
1763662369885,3270,2,19,11,371,inject
1763662369895,3281,3,19,8,275,inject
1763662369905,3291,1,18,22,722,inject
1763662369916,3301,5,23,10,343,inject
1763662369926,3312,4,24,16,536,inject
1763662369937,3322,2,19,11,371,inject
1763662369947,3333,3,19,8,275,inject
1763662369957,3343,1,18,21,690,inject
1763662369968,3353,5,22,10,342,inject
1763662369978,3364,4,24,16,536,inject
1763662369988,3374,2,19,11,371,inject
1763662369999,3384,3,19,8,275,inject
1763662370009,3395,1,18,21,690,inject
1763662370019,3405,5,22,10,342,inject
1763662370030,3415,4,24,16,536,inject
1763662370040,3425,2,19,11,371,inject
1763662370051,3436,3,19,8,275,inject
1763662370062,3448,1,18,21,690,inject
1763662370072,3458,5,21,10,341,inject
1763662370083,3468,4,24,16,536,inject
1763662370093,3479,2,19,11,371,inject
1763662370104,3489,3,19,8,275,inject
1763662370114,3499,1,18,21,690,inject
1763662370124,3510,5,21,10,341,inject
1763662370135,3520,4,24,16,536,inject
1763662370145,3530,2,19,11,371,inject
1763662370155,3541,3,19,8,275,inject
1763662370166,3551,1,18,21,690,inject
1763662370176,3561,5,21,10,341,inject
1763662370186,3572,4,24,16,536,inject
1763662370197,3582,2,19,11,371,inject
1763662370207,3592,3,19,9,307,inject
1763662370217,3603,1,18,21,690,inject
1763662370227,3613,5,21,10,341,inject
1763662370238,3623,4,24,16,536,inject
1763662370248,3633,2,19,11,371,inject
1763662370258,3644,3,18,9,306,inject
1763662370268,3654,1,18,20,658,inject
1763662370279,3664,5,21,10,341,inject
1763662370289,3674,4,24,16,536,inject
1763662370299,3685,2,19,11,371,inject
1763662370310,3695,3,18,9,306,inject
1763662370320,3706,1,18,20,658,inject
1763662370330,3716,5,20,10,340,inject
1763662370341,3726,4,25,16,537,inject
1763662370351,3736,2,19,11,371,inject
1763662370361,3747,3,18,9,306,inject
1763662370371,3757,1,18,20,658,inject
1763662370382,3767,5,20,9,308,inject
1763662370392,3777,4,25,16,537,inject
1763662370402,3788,2,19,11,371,inject
1763662370412,3798,3,18,9,306,inject
1763662370423,3808,1,18,20,658,inject
1763662370433,3818,5,20,9,308,inject
1763662370443,3829,4,25,15,505,inject
1763662370453,3839,2,19,11,371,inject
1763662370464,3849,3,18,9,306,inject
1763662370474,3860,1,18,20,658,inject
1763662370485,3870,5,20,9,308,inject
1763662370495,3880,4,25,15,505,inject
1763662370505,3891,2,19,11,371,inject
1763662370515,3901,3,18,9,306,inject
1763662370526,3911,1,18,20,658,inject
1763662370536,3921,5,19,9,307,inject
1763662370546,3932,4,25,15,505,inject
1763662370556,3942,3,18,9,306,inject
1763662370567,3952,1,18,19,626,inject
1763662370577,3963,5,19,9,307,inject
1763662370587,3973,4,25,15,505,inject
1763662370598,3983,3,18,9,306,inject
1763662370608,3993,1,19,19,627,inject
1763662370618,4004,5,19,9,307,inject
1763662370622,4007,3,19,9,307,repel
1763662370622,4007,5,19,9,307,repel
1763662370629,4014,4,25,15,505,inject
1763662370639,4024,3,18,9,306,inject
1763662370649,4035,1,19,19,627,inject
1763662370660,4045,5,19,9,307,inject
1763662370663,4048,3,19,9,307,repel
1763662370663,4048,5,19,9,307,repel
1763662370670,4056,4,25,15,505,inject
1763662370680,4066,3,18,9,306,inject
1763662370691,4076,1,19,19,627,inject
1763662370701,4087,5,19,9,307,inject
1763662370704,4089,3,19,9,307,repel
1763662370704,4089,5,19,9,307,repel
1763662370711,4097,4,25,15,505,inject
1763662370722,4107,3,18,9,306,inject
1763662370732,4117,1,19,19,627,inject
1763662370742,4128,5,19,9,307,inject
1763662370745,4130,3,19,9,307,repel
1763662370745,4130,5,19,9,307,repel
1763662370753,4138,4,25,15,505,inject
1763662370763,4148,1,19,19,627,inject
1763662370773,4159,5,19,9,307,inject
1763662370776,4161,3,19,9,307,repel
1763662370776,4161,5,19,9,307,repel
1763662370783,4169,4,26,15,506,inject
1763662370794,4179,1,19,19,627,inject
1763662370804,4189,5,19,9,307,inject
1763662370807,4192,3,19,9,307,repel
1763662370807,4192,5,19,9,307,repel
1763662370814,4200,4,26,14,474,inject
1763662370824,4210,1,19,18,595,inject
