unix_time_ms,sim_time_ms,robot_id,grid_x,grid_y,neuron_id,event_type
1763662748026,0,2,10,21,682,inject
1763662748036,11,3,28,7,252,inject
1763662748047,21,4,20,8,276,inject
1763662748057,31,1,25,16,537,inject
1763662748067,42,5,17,7,241,inject
1763662748078,52,2,10,20,650,inject
1763662748088,62,3,28,7,252,inject
1763662748098,73,4,20,7,244,inject
1763662748109,83,1,25,16,537,inject
1763662748119,93,5,17,7,241,inject
1763662748129,104,2,10,20,650,inject
1763662748140,114,3,28,7,252,inject
1763662748150,124,4,20,7,244,inject
1763662748160,135,1,25,16,537,inject
1763662748171,145,5,17,7,241,inject
1763662748181,156,2,10,20,650,inject
1763662748191,166,3,28,6,220,inject
1763662748202,176,4,20,7,244,inject
1763662748212,187,1,25,16,537,inject
1763662748222,197,5,17,7,241,inject
1763662748233,207,2,10,20,650,inject
1763662748243,218,3,28,6,220,inject
1763662748254,228,4,21,7,245,inject
1763662748264,238,1,25,16,537,inject
1763662748274,249,5,17,7,241,inject
1763662748284,259,2,10,19,618,inject
1763662748295,269,3,28,6,220,inject
1763662748305,280,4,21,7,245,inject
1763662748316,290,1,25,16,537,inject
1763662748326,300,5,17,7,241,inject
1763662748336,311,2,10,19,618,inject
1763662748347,321,3,28,6,220,inject
1763662748357,331,4,21,7,245,inject
1763662748367,342,1,25,17,569,inject
1763662748378,352,5,17,6,209,inject
1763662748388,362,2,10,19,618,inject
1763662748398,373,3,28,6,220,inject
1763662748409,383,4,21,7,245,inject
1763662748419,394,1,25,17,569,inject
1763662748429,404,5,16,6,208,inject
1763662748440,414,2,10,19,618,inject
1763662748450,424,3,28,6,220,inject
1763662748460,435,4,21,7,245,inject
1763662748471,445,1,25,17,569,inject
1763662748481,455,5,16,6,208,inject
1763662748491,466,2,10,19,618,inject
1763662748502,476,3,28,6,220,inject
1763662748512,486,4,21,6,213,inject
1763662748522,497,1,25,17,569,inject
1763662748532,507,5,16,6,208,inject
1763662748543,518,2,10,18,586,inject
1763662748553,528,3,28,6,220,inject
1763662748564,538,4,21,6,213,inject
1763662748574,549,1,25,17,569,inject
1763662748585,559,5,16,6,208,inject
1763662748595,569,2,10,18,586,inject
1763662748606,580,3,28,5,188,inject
1763662748616,590,4,21,6,213,inject
1763662748626,601,1,25,17,569,inject
1763662748637,611,5,16,6,208,inject
1763662748647,621,2,10,18,586,inject
1763662748657,632,3,28,5,188,inject
1763662748667,642,4,21,6,213,inject
1763662748678,652,1,25,18,601,inject
1763662748688,663,5,16,6,208,inject
1763662748698,673,2,10,18,586,inject
1763662748709,683,3,28,5,188,inject
1763662748719,694,4,22,6,214,inject
1763662748729,704,1,25,18,601,inject
1763662748740,714,5,16,6,208,inject
1763662748750,725,2,10,17,554,inject
1763662748760,735,3,28,5,188,inject
1763662748771,745,4,22,6,214,inject
1763662748781,755,1,25,18,601,inject
1763662748791,766,5,16,5,176,inject
1763662748802,776,2,10,17,554,inject
1763662748812,786,3,28,5,188,inject
1763662748822,797,4,22,6,214,inject
1763662748833,807,1,25,18,601,inject
1763662748843,817,5,16,5,176,inject
1763662748853,828,2,10,17,554,inject
1763662748864,838,3,28,5,188,inject
1763662748874,848,4,22,6,214,inject
1763662748884,859,1,24,18,600,inject
1763662748895,869,5,16,5,176,inject
1763662748905,879,2,11,17,555,inject
1763662748915,890,3,28,5,188,inject
1763662748926,900,4,22,6,214,inject
